Income_Category,Countries,Avg_GDP,Avg_MMR
High Income,64,39551.561737100776,19.20703125
Low Income,25,692.0366217366133,425.54
Lower Middle Income,78,2539.342067702478,196.69871794871793
Upper Middle Income,70,8463.422477570213,78.74285714285715
