"","Country.Name","Country.Code","MMR_Level","AFR_Level","Growth_Level","Participation_Level","PC_Level","Savings_Level","HIVW_Level","HIV_Total_Level","Edu_Level","MMR_Level_score","AFR_Level_score","Growth_Level_score","Participation_Level_score","PC_Level_score","Savings_Level_score","HIVW_Level_score","HIV_Total_Level_score","Edu_Level_score","composite_score","weighted_score","score_group","weighted_group"
"173","French Polynesia","PYF","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,2,2,3,3,2,2.33333333333333,2.25,"Medium","Medium"
"174","French Polynesia","PYF","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,2,2,3,3,2,2.33333333333333,2.25,"Medium","Medium"
"175","Gabon","GAB","Low MMR","High AFR","Low growth","Medium participation","Low GDPpc","High savings","High share","High prevalence","Low education",3,1,1,2,1,3,1,1,1,1.55555555555556,1.7,"Low","Low"
"176","Gabon","GAB","Low MMR","High AFR","Low growth","Medium participation","Low GDPpc","High savings","High share","High prevalence","Low education",3,1,1,2,1,3,1,1,1,1.55555555555556,1.7,"Low","Low"
"177","Gambia, The","GMB","Medium MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,2,1,2,1,2,1,3,1,1.66666666666667,1.6,"Low","Low"
"178","Gambia, The","GMB","Medium MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,2,1,2,1,2,1,3,1,1.66666666666667,1.6,"Low","Low"
"179","Georgia","GEO","Low MMR","Low AFR","Medium growth","High participation","Low GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,2,3,1,2,3,3,3,2.55555555555556,2.45,"High","High"
"180","Georgia","GEO","Low MMR","Low AFR","Medium growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,2,2,1,2,3,3,3,2.44444444444444,2.35,"High","High"
"181","Germany","DEU","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,2,2,3,3,3,2.55555555555556,2.45,"High","High"
"182","Germany","DEU","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,2,2,3,3,3,2.44444444444444,2.35,"High","High"
"183","Ghana","GHA","Medium MMR","Medium AFR","Medium growth","High participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,2,2,3,1,2,1,3,1,1.88888888888889,1.85,"Low","Low"
"184","Ghana","GHA","Medium MMR","Medium AFR","Medium growth","High participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,2,2,3,1,2,1,3,1,1.88888888888889,1.85,"Low","Low"
"185","Gibraltar","GIB","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,2,2,3,3,2,2.33333333333333,2.25,"Medium","Medium"
"186","Gibraltar","GIB","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,2,2,3,3,2,2.33333333333333,2.25,"Medium","Medium"
"187","Greece","GRC","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,2,2,3,3,2,2.33333333333333,2.25,"Medium","Medium"
"188","Greece","GRC","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,2,2,3,3,2,2.33333333333333,2.25,"Medium","Medium"
"189","Greenland","GRL","Low MMR","Medium AFR","Low growth","High participation","Medium GDPpc","Medium savings","Medium share","Low prevalence","Medium education",3,2,1,3,2,2,2,3,2,2.22222222222222,2.2,"Medium","Medium"
"190","Greenland","GRL","Low MMR","Medium AFR","Low growth","High participation","Medium GDPpc","Medium savings","Medium share","Low prevalence","Medium education",3,2,1,3,2,2,2,3,2,2.22222222222222,2.2,"Medium","Medium"
"191","Grenada","GRD","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,1,2,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"192","Grenada","GRD","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,1,2,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"193","Guam","GUM","Low MMR","Medium AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,2,1,3,2,2,3,3,2,2.33333333333333,2.25,"Medium","Medium"
"194","Guam","GUM","Low MMR","Medium AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,2,1,2,2,2,3,3,2,2.22222222222222,2.15,"Medium","Medium"
"195","Guatemala","GTM","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",3,2,1,2,1,2,2,3,1,1.88888888888889,1.85,"Low","Low"
"196","Guatemala","GTM","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",3,2,1,2,1,2,2,3,1,1.88888888888889,1.85,"Low","Low"
"197","Guinea","GIN","High MMR","High AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",1,1,1,2,1,2,1,3,1,1.44444444444444,1.3,"Low","Low"
"198","Guinea","GIN","High MMR","High AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",1,1,1,2,1,2,1,3,1,1.44444444444444,1.3,"Low","Low"
"199","Guinea-Bissau","GNB","High MMR","High AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","High prevalence","Low education",1,1,1,2,1,2,1,1,1,1.22222222222222,1.2,"Low","Low"
"200","Guinea-Bissau","GNB","High MMR","High AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","High prevalence","Low education",1,1,1,2,1,2,1,1,1,1.22222222222222,1.2,"Low","Low"
"201","Guyana","GUY","Low MMR","Medium AFR","Medium growth","Medium participation","Low GDPpc","High savings","High share","Low prevalence","Low education",3,2,2,2,1,3,1,3,1,2,2.05,"Low","Medium"
"202","Guyana","GUY","Low MMR","Medium AFR","Medium growth","Medium participation","Low GDPpc","High savings","High share","Low prevalence","Low education",3,2,2,2,1,3,1,3,1,2,2.05,"Low","Medium"
"203","Haiti","HTI","Medium MMR","Medium AFR","Low growth","High participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,2,1,3,1,2,1,3,1,1.77777777777778,1.7,"Low","Low"
"204","Haiti","HTI","Medium MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,2,1,2,1,2,1,3,1,1.66666666666667,1.6,"Low","Low"
"205","Heavily indebted poor countries (HIPC)","HPC","Medium MMR","High AFR","Medium growth","High participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,1,2,3,1,2,1,3,1,1.77777777777778,1.75,"Low","Low"
"206","Heavily indebted poor countries (HIPC)","HPC","Medium MMR","High AFR","Medium growth","Medium participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,1,2,2,1,2,1,3,1,1.66666666666667,1.65,"Low","Low"
"207","High income","HIC","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,2,2,3,3,3,2.55555555555556,2.45,"High","High"
"208","High income","HIC","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,2,2,3,3,3,2.44444444444444,2.35,"High","High"
"209","Honduras","HND","Low MMR","High AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",3,1,1,2,1,2,2,3,1,1.77777777777778,1.75,"Low","Low"
"210","Honduras","HND","Low MMR","High AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",3,1,1,2,1,2,2,3,1,1.77777777777778,1.75,"Low","Low"
"211","Hong Kong SAR, China","HKG","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","High savings","Low share","Low prevalence","High education",3,3,1,3,2,3,3,3,3,2.66666666666667,2.55,"High","High"
"212","Hong Kong SAR, China","HKG","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","High savings","Low share","Low prevalence","High education",3,3,1,2,2,3,3,3,3,2.55555555555556,2.45,"High","High"
"213","Hungary","HUN","Low MMR","Low AFR","Low growth","High participation","Low GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,1,2,3,3,3,2.44444444444444,2.3,"High","High"
"214","Hungary","HUN","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,1,2,3,3,3,2.33333333333333,2.2,"Medium","Medium"
"215","IBRD only","IBD","Low MMR","Low AFR","Medium growth","Medium participation","Low GDPpc","High savings","Low share","Low prevalence","Medium education",3,3,2,2,1,3,3,3,2,2.44444444444444,2.35,"High","High"
"216","IBRD only","IBD","Low MMR","Low AFR","Medium growth","Medium participation","Low GDPpc","High savings","Low share","Low prevalence","Medium education",3,3,2,2,1,3,3,3,2,2.44444444444444,2.35,"High","High"
"217","IDA & IBRD total","IBT","Medium MMR","Medium AFR","Medium growth","Medium participation","Low GDPpc","High savings","Medium share","Low prevalence","Low education",2,2,2,2,1,3,2,3,1,2,1.9,"Low","Medium"
"218","IDA & IBRD total","IBT","Medium MMR","Medium AFR","Medium growth","Medium participation","Low GDPpc","High savings","Medium share","Low prevalence","Low education",2,2,2,2,1,3,2,3,1,2,1.9,"Low","Medium"
"219","IDA blend","IDB","Medium MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","High prevalence","Low education",2,2,1,2,1,2,1,1,1,1.44444444444444,1.5,"Low","Low"
"220","IDA blend","IDB","Medium MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","High prevalence","Low education",2,2,1,2,1,2,1,1,1,1.44444444444444,1.5,"Low","Low"
"221","IDA only","IDX","Medium MMR","High AFR","Medium growth","Medium participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,1,2,2,1,2,1,3,1,1.66666666666667,1.65,"Low","Low"
"222","IDA only","IDX","Medium MMR","High AFR","Medium growth","Medium participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,1,2,2,1,2,1,3,1,1.66666666666667,1.65,"Low","Low"
"223","IDA total","IDA","Medium MMR","High AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,1,1,2,1,2,1,3,1,1.55555555555556,1.5,"Low","Low"
"224","IDA total","IDA","Medium MMR","High AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,1,1,2,1,2,1,3,1,1.55555555555556,1.5,"Low","Low"
"225","Iceland","ISL","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,2,2,3,3,3,2.55555555555556,2.45,"High","High"
"226","Iceland","ISL","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,2,2,3,3,3,2.55555555555556,2.45,"High","High"
"227","India","IND","Low MMR","Medium AFR","Medium growth","Low participation","Low GDPpc","High savings","Medium share","Low prevalence","Low education",3,2,2,1,1,3,2,3,1,2,2,"Low","Medium"
"228","India","IND","Low MMR","Medium AFR","Medium growth","Low participation","Low GDPpc","High savings","Medium share","Low prevalence","Low education",3,2,2,1,1,3,2,3,1,2,2,"Low","Medium"
"229","Indonesia","IDN","Low MMR","Low AFR","Medium growth","Medium participation","Low GDPpc","High savings","Low share","Low prevalence","Low education",3,3,2,2,1,3,3,3,1,2.33333333333333,2.25,"Medium","Medium"
"230","Indonesia","IDN","Low MMR","Low AFR","Medium growth","Medium participation","Low GDPpc","High savings","Low share","Low prevalence","Low education",3,3,2,2,1,3,3,3,1,2.33333333333333,2.25,"Medium","Medium"
"231","Iran, Islamic Rep.","IRN","Low MMR","Low AFR","Low growth","Low participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,1,1,2,3,3,2,2.11111111111111,2,"Medium","Medium"
"232","Iran, Islamic Rep.","IRN","Low MMR","Low AFR","Low growth","Low participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,1,1,2,3,3,2,2.11111111111111,2,"Medium","Medium"
"233","Iraq","IRQ","Low MMR","Medium AFR","Medium growth","Low participation","Low GDPpc","High savings","Medium share","Low prevalence","Low education",3,2,2,1,1,3,2,3,1,2,2,"Low","Medium"
"234","Iraq","IRQ","Low MMR","Medium AFR","Medium growth","Low participation","Low GDPpc","High savings","Medium share","Low prevalence","Low education",3,2,2,1,1,3,2,3,1,2,2,"Low","Medium"
"235","Ireland","IRL","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,2,2,3,3,3,2.55555555555556,2.45,"High","High"
"236","Ireland","IRL","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,2,2,3,3,3,2.44444444444444,2.35,"High","High"
"237","Isle of Man","IMN","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","High savings","Low share","Low prevalence","High education",3,3,1,3,2,3,3,3,3,2.66666666666667,2.55,"High","High"
"238","Isle of Man","IMN","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","High savings","Low share","Low prevalence","High education",3,3,1,2,2,3,3,3,3,2.55555555555556,2.45,"High","High"
"239","Israel","ISR","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,2,2,3,3,3,2.55555555555556,2.45,"High","High"
"240","Israel","ISR","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,2,2,3,3,3,2.44444444444444,2.35,"High","High"
"241","Italy","ITA","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,2,2,3,3,2,2.33333333333333,2.25,"Medium","Medium"
"242","Italy","ITA","Low MMR","Low AFR","Low growth","Low participation","Medium GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,1,2,2,3,3,2,2.22222222222222,2.15,"Medium","Medium"
"243","Jamaica","JAM","Low MMR","Medium AFR","Low growth","High participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Medium education",3,2,1,3,1,2,2,3,2,2.11111111111111,2.05,"Medium","Medium"
"244","Jamaica","JAM","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Medium education",3,2,1,2,1,2,2,3,2,2,1.95,"Low","Medium"
"245","Japan","JPN","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","High savings","Low share","Low prevalence","High education",3,3,1,3,2,3,3,3,3,2.66666666666667,2.55,"High","High"
"246","Japan","JPN","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","High savings","Low share","Low prevalence","High education",3,3,1,2,2,3,3,3,3,2.55555555555556,2.45,"High","High"
"247","Jordan","JOR","Low MMR","Low AFR","Low growth","Low participation","Low GDPpc","Medium savings","Low share","Low prevalence","Low education",3,3,1,1,1,2,3,3,1,2,1.9,"Low","Low"
"248","Jordan","JOR","Low MMR","Low AFR","Low growth","Low participation","Low GDPpc","Medium savings","Low share","Low prevalence","Low education",3,3,1,1,1,2,3,3,1,2,1.9,"Low","Low"
"249","Kazakhstan","KAZ","Low MMR","Low AFR","Medium growth","High participation","Low GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,2,3,1,2,3,3,3,2.55555555555556,2.45,"High","High"
"250","Kazakhstan","KAZ","Low MMR","Low AFR","Medium growth","High participation","Low GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,2,3,1,2,3,3,3,2.55555555555556,2.45,"High","High"
"251","Kenya","KEN","Low MMR","High AFR","Medium growth","High participation","Low GDPpc","Medium savings","High share","High prevalence","Low education",3,1,2,3,1,2,1,1,1,1.66666666666667,1.85,"Low","Low"
"252","Kenya","KEN","Low MMR","High AFR","Medium growth","High participation","Low GDPpc","Medium savings","High share","High prevalence","Low education",3,1,2,3,1,2,1,1,1,1.66666666666667,1.85,"Low","Low"
"253","Kiribati","KIR","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","High savings","Low share","Low prevalence","Medium education",3,2,1,2,1,3,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"254","Kiribati","KIR","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","High savings","Low share","Low prevalence","Medium education",3,2,1,2,1,3,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"255","Korea, Dem. People's Rep.","PRK","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","High savings","Medium share","Low prevalence","High education",3,3,1,3,2,3,2,3,3,2.55555555555556,2.5,"High","High"
"256","Korea, Dem. People's Rep.","PRK","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","High savings","Medium share","Low prevalence","High education",3,3,1,3,2,3,2,3,3,2.55555555555556,2.5,"High","High"
"257","Korea, Rep.","KOR","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","High savings","Low share","Low prevalence","High education",3,3,1,2,2,3,3,3,3,2.55555555555556,2.45,"High","High"
"258","Korea, Rep.","KOR","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","High savings","Low share","Low prevalence","High education",3,3,1,2,2,3,3,3,3,2.55555555555556,2.45,"High","High"
"259","Kosovo","XKX","Low MMR","Low AFR","Low growth","Low participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,1,1,2,3,3,2,2.11111111111111,2,"Medium","Medium"
"260","Kosovo","XKX","Low MMR","Low AFR","Low growth","Low participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,1,1,2,3,3,2,2.11111111111111,2,"Medium","Medium"
"261","Kuwait","KWT","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","High savings","Low share","Low prevalence","Medium education",3,3,1,2,2,3,3,3,2,2.44444444444444,2.35,"High","High"
"262","Kuwait","KWT","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","High savings","Low share","Low prevalence","Medium education",3,3,1,2,2,3,3,3,2,2.44444444444444,2.35,"High","High"
"263","Kyrgyz Republic","KGZ","Low MMR","Low AFR","Low growth","High participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,3,1,2,3,3,2,2.33333333333333,2.2,"Medium","Medium"
"264","Kyrgyz Republic","KGZ","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,1,2,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"265","Lao PDR","LAO","Medium MMR","Medium AFR","Medium growth","High participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",2,2,2,3,1,2,2,3,1,2,1.9,"Low","Medium"
"266","Lao PDR","LAO","Medium MMR","Medium AFR","Medium growth","Medium participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",2,2,2,2,1,2,2,3,1,1.88888888888889,1.8,"Low","Low"
"267","Late-demographic dividend","LTE","Low MMR","Low AFR","Medium growth","High participation","Low GDPpc","High savings","Low share","Low prevalence","Medium education",3,3,2,3,1,3,3,3,2,2.55555555555556,2.45,"High","High"
"268","Late-demographic dividend","LTE","Low MMR","Low AFR","Medium growth","Medium participation","Low GDPpc","High savings","Low share","Low prevalence","Medium education",3,3,2,2,1,3,3,3,2,2.44444444444444,2.35,"High","High"
"269","Latin America & Caribbean","LCN","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,2,1,2,1,2,3,3,2,2.11111111111111,2,"Medium","Medium"
"270","Latin America & Caribbean","LCN","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,2,1,2,1,2,3,3,2,2.11111111111111,2,"Medium","Medium"
"271","Latin America & Caribbean (IDA & IBRD)","TLA","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,1,2,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"272","Latin America & Caribbean (IDA & IBRD)","TLA","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,1,2,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"273","Latin America & Caribbean (excluding high income)","LAC","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",3,2,1,2,1,2,2,3,1,1.88888888888889,1.85,"Low","Low"
"274","Latin America & Caribbean (excluding high income)","LAC","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",3,2,1,2,1,2,2,3,1,1.88888888888889,1.85,"Low","Low"
"275","Latin America & the Caribbean (IDA & IBRD countries)","TLA","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",3,2,1,2,1,2,2,3,1,1.88888888888889,1.85,"Low","Low"
"276","Latin America & the Caribbean (IDA & IBRD countries)","TLA","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",3,2,1,2,1,2,2,3,1,1.88888888888889,1.85,"Low","Low"
"277","Latvia","LVA","Low MMR","Low AFR","Low growth","High participation","Low GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,1,2,3,3,3,2.44444444444444,2.3,"High","High"
"278","Latvia","LVA","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,1,2,3,3,3,2.33333333333333,2.2,"Medium","Medium"
"279","Least developed countries: UN classification","LDC","Medium MMR","High AFR","Medium growth","Medium participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,1,2,2,1,2,1,3,1,1.66666666666667,1.65,"Low","Low"
"280","Least developed countries: UN classification","LDC","Medium MMR","High AFR","Medium growth","Medium participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,1,2,2,1,2,1,3,1,1.66666666666667,1.65,"Low","Low"
"281","Lebanon","LBN","Low MMR","Low AFR","Low growth","Low participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,1,1,2,3,3,2,2.11111111111111,2,"Medium","Medium"
"282","Lebanon","LBN","Low MMR","Low AFR","Low growth","Low participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,1,1,2,3,3,2,2.11111111111111,2,"Medium","Medium"
"283","Lesotho","LSO","High MMR","Medium AFR","Low growth","High participation","Low GDPpc","Medium savings","High share","Medium prevalence","Low education",1,2,1,3,1,2,1,2,1,1.55555555555556,1.45,"Low","Low"
"284","Lesotho","LSO","High MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","Medium prevalence","Low education",1,2,1,2,1,2,1,2,1,1.44444444444444,1.35,"Low","Low"
"285","Liberia","LBR","High MMR","High AFR","Medium growth","High participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",1,1,2,3,1,2,1,3,1,1.66666666666667,1.55,"Low","Low"
"286","Liberia","LBR","High MMR","High AFR","Medium growth","High participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",1,1,2,3,1,2,1,3,1,1.66666666666667,1.55,"Low","Low"
"287","Libya","LBY","Low MMR","Low AFR","High growth","Low participation","Low GDPpc","High savings","Low share","Low prevalence","Medium education",3,3,3,1,1,3,3,3,2,2.44444444444444,2.4,"High","High"
"288","Libya","LBY","Low MMR","Low AFR","High growth","Low participation","Low GDPpc","High savings","Low share","Low prevalence","Medium education",3,3,3,1,1,3,3,3,2,2.44444444444444,2.4,"High","High"
"289","Liechtenstein","LIE","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,2,2,3,3,3,2.55555555555556,2.45,"High","High"
"290","Liechtenstein","LIE","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,2,2,3,3,3,2.44444444444444,2.35,"High","High"
"291","Lithuania","LTU","Low MMR","Low AFR","Low growth","High participation","Low GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,1,2,3,3,3,2.44444444444444,2.3,"High","High"
"292","Lithuania","LTU","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,1,2,3,3,3,2.33333333333333,2.2,"Medium","Medium"
"293","Low & middle income","LMY","Medium MMR","Medium AFR","Medium growth","Medium participation","Low GDPpc","High savings","Medium share","Low prevalence","Low education",2,2,2,2,1,3,2,3,1,2,1.9,"Low","Medium"
"294","Low & middle income","LMY","Medium MMR","Medium AFR","Medium growth","Medium participation","Low GDPpc","High savings","Medium share","Low prevalence","Low education",2,2,2,2,1,3,2,3,1,2,1.9,"Low","Medium"
"295","Low income","LIC","Medium MMR","High AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,1,1,2,1,2,1,3,1,1.55555555555556,1.5,"Low","Low"
"296","Low income","LIC","Medium MMR","High AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,1,1,2,1,2,1,3,1,1.55555555555556,1.5,"Low","Low"
"297","Lower middle income","LMC","Medium MMR","Medium AFR","Medium growth","Medium participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",2,2,2,2,1,2,2,3,1,1.88888888888889,1.8,"Low","Low"
"298","Lower middle income","LMC","Medium MMR","Medium AFR","Medium growth","Low participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",2,2,2,1,1,2,2,3,1,1.77777777777778,1.7,"Low","Low"
"299","Luxembourg","LUX","Low MMR","Low AFR","Low growth","High participation","High GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,3,2,3,3,3,2.66666666666667,2.6,"High","High"
"300","Luxembourg","LUX","Low MMR","Low AFR","Low growth","Medium participation","High GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,3,2,3,3,3,2.55555555555556,2.5,"High","High"
"301","Macao SAR, China","MAC","Low MMR","Low AFR","Medium growth","High participation","Medium GDPpc","High savings","Low share","Low prevalence","High education",3,3,2,3,2,3,3,3,3,2.77777777777778,2.7,"High","High"
"302","Macao SAR, China","MAC","Low MMR","Low AFR","Medium growth","High participation","Medium GDPpc","High savings","Low share","Low prevalence","High education",3,3,2,3,2,3,3,3,3,2.77777777777778,2.7,"High","High"
"303","Madagascar","MDG","Medium MMR","High AFR","Low growth","High participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,1,1,3,1,2,1,3,1,1.66666666666667,1.6,"Low","Low"
"304","Madagascar","MDG","Medium MMR","High AFR","Low growth","High participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,1,1,3,1,2,1,3,1,1.66666666666667,1.6,"Low","Low"
"305","Malawi","MWI","Medium MMR","High AFR","Low growth","High participation","Low GDPpc","Medium savings","High share","Medium prevalence","Low education",2,1,1,3,1,2,1,2,1,1.55555555555556,1.55,"Low","Low"
"306","Malawi","MWI","Medium MMR","High AFR","Low growth","High participation","Low GDPpc","Medium savings","High share","Medium prevalence","Low education",2,1,1,3,1,2,1,2,1,1.55555555555556,1.55,"Low","Low"
