"","Country.Name","Country.Code","MMR_Level","AFR_Level","Growth_Level","Participation_Level","PC_Level","Savings_Level","HIVW_Level","HIV_Total_Level","Edu_Level","MMR_Level_score","AFR_Level_score","Growth_Level_score","Participation_Level_score","PC_Level_score","Savings_Level_score","HIVW_Level_score","HIV_Total_Level_score","Edu_Level_score","composite_score","weighted_score","score_group","weighted_group"
"75","Cameroon","CMR","Medium MMR","High AFR","Low growth","High participation","Low GDPpc","Medium savings","High share","High prevalence","Low education",2,1,1,3,1,2,1,1,1,1.44444444444444,1.5,"Low","Low"
"76","Cameroon","CMR","Medium MMR","High AFR","Low growth","High participation","Low GDPpc","Medium savings","High share","High prevalence","Low education",2,1,1,3,1,2,1,1,1,1.44444444444444,1.5,"Low","Low"
"77","Canada","CAN","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,2,2,3,3,3,2.55555555555556,2.45,"High","High"
"78","Canada","CAN","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,2,2,3,3,3,2.55555555555556,2.45,"High","High"
"79","Caribbean small states","CSS","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Medium education",3,2,1,2,1,2,2,3,2,2,1.95,"Low","Medium"
"80","Caribbean small states","CSS","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Medium education",3,2,1,2,1,2,2,3,2,2,1.95,"Low","Medium"
"81","Cayman Islands","CYM","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","High savings","Low share","Low prevalence","High education",3,3,1,3,2,3,3,3,3,2.66666666666667,2.55,"High","High"
"82","Cayman Islands","CYM","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","High savings","Low share","Low prevalence","High education",3,3,1,3,2,3,3,3,3,2.66666666666667,2.55,"High","High"
"83","Central African Republic","CAF","High MMR","High AFR","Low growth","High participation","Low GDPpc","Medium savings","High share","High prevalence","Low education",1,1,1,3,1,2,1,1,1,1.33333333333333,1.3,"Low","Low"
"84","Central African Republic","CAF","High MMR","High AFR","Low growth","High participation","Low GDPpc","Medium savings","High share","High prevalence","Low education",1,1,1,3,1,2,1,1,1,1.33333333333333,1.3,"Low","Low"
"85","Central Europe and the Baltics","CEB","Low MMR","Low AFR","Low growth","High participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,3,1,2,3,3,2,2.33333333333333,2.2,"Medium","Medium"
"86","Central Europe and the Baltics","CEB","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,1,2,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"87","Chad","TCD","High MMR","High AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",1,1,1,2,1,2,1,3,1,1.44444444444444,1.3,"Low","Low"
"88","Chad","TCD","High MMR","High AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",1,1,1,2,1,2,1,3,1,1.44444444444444,1.3,"Low","Low"
"89","Channel Islands","CHI","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,2,2,3,3,3,2.55555555555556,2.45,"High","High"
