"Model","Term","Estimate","Std_Error","t_value","p_value"
"Linear","Intercept",20489.7512468451,437.067053302186,46.8801093380027,0
"Linear","MMR_coefficient",-29.2638249654317,1.63407102885372,-17.9085391324512,7.17195142891588e-69
"Log-linear","Intercept",40365.7960706533,924.988969891757,43.6392188280655,0
"Log-linear","MMR_coefficient",-5901.75621406806,206.709160124593,-28.5510144326008,2.49092752569943e-162
"Log-log","Intercept",11.1245103895302,0.0512788821593934,216.941359114484,0
"Log-log","MMR_coefficient",-0.55381609068496,0.0114593957423477,-48.3285596498214,0
