"Income_Group","Countries","Observations","MMR_Mean","MMR_Median","GDP_Mean","GDP_Median"
"Low",36,378,488.960317460317,469,675.243640283312,685.703366483361
"Lower-middle",93,1000,243.8058,180,2251.03555824343,1976.34991602024
"Upper-middle",106,1040,83.7276923076923,62,7274.72271127374,6881.32196503434
"High",115,1314,80.2995433789945,15,36694.3648325457,30567.7199956862
