"Model","R_squared","Adj_R_squared","AIC","BIC"
"Linear",0.0791750870125936,0.078928217062731,84843.0144882936,84861.6885869795
"Log-linear",0.179346898433659,0.179126884197314,84413.2021968952,84431.8762955811
"Log-log",0.385061749669546,0.384896886867848,11264.0758999334,11282.7499986193
